Whisker Labs,Power & Utilities,"Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
ASE Kalkitech,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Virtual Peaker,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Electric Power Engineers,Power & Utilities,"Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
Lumindt,"Energy Transition, Industrial Decarbonization, Power & Utilities","Distributed Energy Resources, Hydrogen, H2 & Low Carbon Fuels",Private Data,Private Data
Molecule Systems,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Texture Energy,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Turtle Turbines,"Power & Utilities, Industrial Decarbonization, Sustainability","Distributed Energy Resources, Power & Efficiency, Electrification & Efficiency",Private Data,Private Data
NODES,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Arcadia,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Harvest Thermal,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Future-tech,"Energy Transition, Power & Utilities","Distributed Energy Resources, Renewables & Energy Storage, Asset Management & Digitization, Other",Private Data,Private Data
Zendo Energy,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
CPower Energy Management,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Multiverse Computing,"Oil & Gas, Power & Utilities","Completions, Subsurface, Production, Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
envelio,Power & Utilities,"Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
Quilt,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
MAGNOTHERM,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
Circadian Technologies,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
OctaiPipe,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Anzen,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Synergi,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
uTrack Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Heatio,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Prets,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Eolic Wall,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Edo Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
AiGent,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Freen,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Utilidata,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
SWIRL,"Oil & Gas, Power & Utilities","Drilling, Completions, Subsurface, Production, Distributed Energy Resources, Transportation Electrification",Private Data,Private Data
Caban Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Arnergy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Mainspring Energy,"Power & Utilities, Industrial Decarbonization, Sustainability","Distributed Energy Resources, Flaring, Innovative Processes",Private Data,Private Data
Magna,"Power & Utilities, Sustainability","Distributed Energy Resources, Methane Emissions",Private Data,Private Data
Currents,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Powernaut,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Elastic Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Zero Industrial,"Industrial Decarbonization, Power & Utilities","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
Gridsight,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Corinex,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Base Power Company,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Magneto,"Industrial Decarbonization, Power & Utilities","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
Magnoric,"Industrial Decarbonization, Power & Utilities","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
GridUnity,Power & Utilities,"Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
Span.io,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Caldera,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
flexenergi,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Quatt,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
Egg Geothermal,"Power & Utilities, Industrial Decarbonization, Energy Transition","Distributed Energy Resources, New Energies",Private Data,Private Data
Solarus Smart Energy Solutions,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
Dandelion Energy,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
Axle Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Terran Generon,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
node.energy,Power & Utilities,"Distributed Energy Resources, Renewables & Energy Storage, Asset Management & Digitization",Private Data,Private Data
Capalo AI,"Industrial Decarbonization, Power & Utilities","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
M2 Thermal Solutions,"Industrial Decarbonization, Power & Utilities","Distributed Energy Resources, Innovative Processes",Private Data,Private Data
SolarSteam,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
Darcy Solutions,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Heat Inverse,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Grid4C,Power & Utilities,"Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
RPower,"Power & Utilities, Sustainability","Distributed Energy Resources, Power & Efficiency",Private Data,Private Data
Nexbe,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Raicoon,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Pila Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
RaVolt,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Harris Utilities,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Grid Solutions,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
ElectronX,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
inGeniti,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
AdopDER,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Open Energy Market,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
ETPA,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Zero,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
energyGuard,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
ANB,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Jeedom,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
ConnectM,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
GRYD,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
geo (Green Energy Options),Power & Utilities,Distributed Energy Resources,Private Data,Private Data
GivEnergy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
CheckWatt,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Electryone AI,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Hive Limited,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Sowee,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
QUIXOTIC,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Ogre AI,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Renbee,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Warmur,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Heatly,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
autarc,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Spruce Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Carno,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Lun Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Dynamic Grid,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Gridient,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
QEA Tech,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Emporia Energy,"Power & Utilities, Industrial Decarbonization, DERMS",Distributed Energy Resources,Private Data,Private Data
Verrus,"Energy Transition, Power & Utilities","Distributed Energy Resources, Renewables & Energy Storage, Asset Management & Digitization",Private Data,Private Data
Claros,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
Advansor,Power & Utilities,"Distributed Energy Resources, Renewables & Energy Storage",Private Data,Private Data
Skeleton Technologies,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
Lochinvar,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Hope Deepblue A/C,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Winterwarm Heating Solutions,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Reactive Technologies,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Ecosuite,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
75F,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
Podero,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
Kestrix,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Edgeli,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Piclo,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
GridEdge Networks,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Gradient,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
NET2GRID,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Fusebox,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Inspire,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
SMPnet,Power & Utilities,"Distributed Energy Resources, Asset Management & Digitization",Private Data,Private Data
Solrite,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Qvantum,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
Lumin,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
CausewayGT,"Energy Transition, Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, New Energies, Electrification & Efficiency",Private Data,Private Data
Sparkfund,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
FlexGen Power Systems,"Oil & Gas, Sustainability, Power & Utilities, Industrial Decarbonization","Drilling, Distributed Energy Resources, Renewables & Energy Storage, Methane Emissions, Electrification & Efficiency",Private Data,Private Data
Kraken,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
AutoGrid,"Power & Utilities, Industrial Decarbonization, DERMS","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency, Innovative Processes",Private Data,Private Data
Reposit Power,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
CGC Group - Bulldog Heat Pump,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Blade Air,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Brainbox AI,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Critical Loop,Power & Utilities,"Distributed Energy Resources, Renewables & Energy Storage",Private Data,Private Data
PayGo,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Sense,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Spot My Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Smarter Grid Solutions,"Power & Utilities, Industrial Decarbonization, DERMS","Distributed Energy Resources, Innovative Processes",Private Data,Private Data
Rock Rabbit,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Budderfly,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Bloom Energy,"Power & Utilities, Energy Transition, Industrial Decarbonization","Distributed Energy Resources, H2 & Low Carbon Fuels, Electrification & Efficiency, Innovative Processes",Private Data,Private Data
Sealed,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Elexity,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
QDM Tech,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
LIFEPOWR,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Survoltage,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
ThermoVault,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Levelise,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Tewke,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Pearl Edison,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
EPEX SPOT,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Torus,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Silfab Solar,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
GridBeyond,"Power & Utilities, Industrial Decarbonization, DERMS",Distributed Energy Resources,Private Data,Private Data
Sympower,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Aurora Solar,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
Airthium,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Renewables & Energy Storage, Electrification & Efficiency",Private Data,Private Data
PropTechCore,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
KUGU,"Power & Utilities, Industrial Decarbonization","Distributed Energy Resources, Electrification & Efficiency",Private Data,Private Data
Electron,"Power & Utilities, DERMS",Distributed Energy Resources,Private Data,Private Data
Transaera,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Hydronic Shell Technologies,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Capstone Green Energy,"Power & Utilities, Sustainability","Distributed Energy Resources, Power & Efficiency",Private Data,Private Data
Hohm Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Onsemble,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
EnnoFlow,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Gridpoint,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Urbint,"Power & Utilities, Sustainability","Distributed Energy Resources, Methane Emissions",Private Data,Private Data
Wattwatchers,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Viridity Energy,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
Tecogen,"Power & Utilities, Industrial Decarbonization",Distributed Energy Resources,Private Data,Private Data
Catalyze,Power & Utilities,Distributed Energy Resources,Private Data,Private Data
